bet_id,p_blend,edge,price,market,game_id,k_mod,k_raw,k_eff,k_corr,stake,rank_in_game,cum_risk
2021_17_ATL_BUF_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2021_17_ATL_BUF,0.21,0.015107913669064053,0.0,0.0,0.0,4.0,0.35005779420142885
2021_17_CAR_NO_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2021_17_CAR_NO,0.21,0.015107913669064053,0.0,0.0,0.0,1.0,0.35005779420142885
2021_17_CAR_NO_spread,0.525983434928774,0.0041501939549321,-110.0,spread,2021_17_CAR_NO,0.21,0.008715407305357498,0.0,0.0,0.0,2.0,0.35005779420142885
2021_18_KC_DEN_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2021_18_KC_DEN,0.21,0.015107913669064053,0.0,0.0,0.0,1.0,0.35005779420142885
2021_18_KC_DEN_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2021_18_KC_DEN,0.21,0.015107913669064053,0.0,0.0,0.0,3.0,0.35005779420142885
2021_20_CIN_TEN_spread,0.5272782137022695,0.0066220443406962,-110.0,spread,2021_20_CIN_TEN,0.21,0.013906293115462235,0.0,0.0,0.0,13.0,0.35005779420142885
2021_19_SF_DAL_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2021_19_SF_DAL,0.21,0.0,0.0,0.0,0.0,4.0,0.35005779420142885
2021_20_BUF_KC_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2021_20_BUF_KC,0.21,0.0,0.0,0.0,0.0,2.0,0.35005779420142885
2021_20_BUF_KC_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2021_20_BUF_KC,0.21,0.0,0.0,0.0,0.0,3.0,0.35005779420142885
2021_20_BUF_KC_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2021_20_BUF_KC,0.21,0.0,0.0,0.0,0.0,4.0,0.35005779420142885
2021_20_CIN_TEN_spread,0.5272782137022695,0.0066220443406962,-110.0,spread,2021_20_CIN_TEN,0.21,0.013906293115462235,0.0,0.0,0.0,1.0,0.35005779420142885
2021_20_CIN_TEN_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2021_20_CIN_TEN,0.21,0.0,0.0,0.0,0.0,2.0,0.35005779420142885
2021_20_CIN_TEN_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2021_20_CIN_TEN,0.21,0.0,0.0,0.0,0.0,3.0,0.35005779420142885
2021_20_CIN_TEN_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2021_20_CIN_TEN,0.21,0.0,0.0,0.0,0.0,4.0,0.35005779420142885
2021_20_CIN_TEN_spread,0.5272782137022695,0.0066220443406962,-110.0,spread,2021_20_CIN_TEN,0.21,0.013906293115462235,0.0,0.0,0.0,5.0,0.35005779420142885
2021_20_CIN_TEN_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2021_20_CIN_TEN,0.21,0.0,0.0,0.0,0.0,6.0,0.35005779420142885
2021_20_CIN_TEN_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2021_20_CIN_TEN,0.21,0.0,0.0,0.0,0.0,7.0,0.35005779420142885
2021_20_CIN_TEN_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2021_20_CIN_TEN,0.21,0.0,0.0,0.0,0.0,8.0,0.35005779420142885
2021_20_CIN_TEN_spread,0.5272782137022695,0.0066220443406962,-110.0,spread,2021_20_CIN_TEN,0.21,0.013906293115462235,0.0,0.0,0.0,9.0,0.35005779420142885
2021_20_CIN_TEN_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2021_20_CIN_TEN,0.21,0.0,0.0,0.0,0.0,10.0,0.35005779420142885
2021_20_CIN_TEN_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2021_20_CIN_TEN,0.21,0.0,0.0,0.0,0.0,11.0,0.35005779420142885
2021_20_CIN_TEN_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2021_20_CIN_TEN,0.21,0.0,0.0,0.0,0.0,12.0,0.35005779420142885
