season,week,game_id,bet_type,bet_line,pick,price,edge_pts,p_raw,won,p_cal
2019,13,2019_13_CLE_PIT,spread,-1.0,PIT,-110,1.1507251165308825,0.5352672391698741,1,0.5668060752806513
2019,13,2019_13_GB_NYG,spread,-6.5,NYG,-110,14.14250584190397,0.8616770748771776,0,0.6406249999999999
2019,13,2019_13_GB_NYG,spread,-6.5,NYG,-110,1.157929477626472,0.5354874557908249,0,0.5668060752806513
2019,13,2019_13_LAC_DEN,spread,-4.5,DEN,-110,1.1547180052529642,0.5353892916455267,1,0.5668060752806513
2019,13,2019_13_LAC_DEN,spread,-4.5,DEN,-110,10.144351002909001,0.7824030512515538,1,0.6406249999999999
2019,13,2019_13_LAC_DEN,spread,4.5,LAC,-110,7.845281994747036,0.7269063659126153,1,0.5802469135802469
2019,13,2019_13_LAC_DEN,spread,4.5,DEN,-110,-1.1443510029090005,0.4649276081804347,0,0.5668060752806513
2019,13,2019_13_LA_ARI,spread,-2.5,ARI,-110,1.1537978677687033,0.5353611656724626,0,0.5668060752806513
2019,13,2019_13_LA_ARI,spread,-2.5,ARI,-110,6.148152305446577,0.6818701492882226,0,0.5668060752806513
2019,13,2019_13_MIN_SEA,spread,-2.5,SEA,-110,-1.1542386240624942,0.4646253616452989,1,0.5668060752806513
2019,13,2019_13_MIN_SEA,spread,-2.5,SEA,-110,-6.148078064267473,0.3181318879575239,1,0.5668060752806513
2019,13,2019_13_NE_HOU,spread,-3.5,HOU,-110,1.1549910543598711,0.5353976379423119,1,0.5668060752806513
2019,13,2019_13_NE_HOU,spread,-3.5,HOU,-110,8.146984626449559,0.7345691387607841,1,0.5802469135802469
2019,13,2019_13_NO_ATL,spread,-7.0,ATL,-110,1.1593507336078623,0.53553089822138,0,0.5668060752806513
2019,13,2019_13_NO_ATL,spread,-7.0,ATL,-110,15.143081804327277,0.8779606374280378,0,0.6406249999999999
2019,13,2019_13_NYJ_CIN,spread,-2.5,CIN,-110,1.153064833861568,0.5353387587945391,1,0.5668060752806513
2019,13,2019_13_NYJ_CIN,spread,-2.5,CIN,-110,6.147419271539442,0.6818500339274179,1,0.5668060752806513
2019,13,2019_13_NYJ_CIN,spread,2.5,NYJ,-110,3.846935166138432,0.6163536820737265,0,0.5668060752806513
2019,13,2019_13_NYJ_CIN,spread,2.5,CIN,-110,-1.1474192715394418,0.46483381463393003,1,0.5668060752806513
2019,13,2019_13_OAK_KC,spread,-11.5,KC,-110,-24.13784612846596,0.031672838892055466,1,0.5668060752806513
2019,13,2019_13_OAK_KC,spread,-11.5,KC,-110,-1.164917936135069,0.46429893749565615,1,0.5668060752806513
2019,13,2019_13_PHI_MIA,spread,-10.5,MIA,-110,1.1629774873000116,0.5356417524712358,1,0.5668060752806513
2019,13,2019_13_PHI_MIA,spread,-10.5,MIA,-110,22.138445925913686,0.9557119775888889,1,0.6923076923076923
2019,13,2019_13_SF_BAL,spread,5.5,BAL,-110,1.143885244358657,0.5350581539301871,0,0.5668060752806513
2019,13,2019_13_SF_BAL,spread,5.5,SF,-110,-9.8428718902363,0.22448180043863475,1,0.5668060752806513
2019,13,2019_13_SF_BAL,spread,-5.5,BAL,-110,-12.143885244358657,0.17511454618290734,1,0.5668060752806513
2019,13,2019_13_SF_BAL,spread,-5.5,BAL,-110,-1.1571281097637014,0.46453703918637257,1,0.5668060752806513
2019,13,2019_13_TEN_IND,spread,-1.0,IND,-110,1.1510000622993048,0.5352756436708097,0,0.5668060752806513
2019,13,2019_13_TEN_IND,spread,-1.0,IND,-110,3.148896695447566,0.5956962442278886,0,0.5668060752806513
2019,13,2019_13_TEN_IND,spread,1.0,TEN,-110,0.8489999377006952,0.5260354891693813,1,0.5668060752806513
2019,13,2019_13_TEN_IND,spread,1.0,IND,-110,-1.148896695447566,0.46478865213111387,0,0.5668060752806513
